country,country_name,n_articles_total,n_articles_30d,sentiment_30d,sentiment_prior_30d,sentiment_change,top_topic
RWA,Rwanda,159,129,0.078109598483543,-0.16434054431263084,0.24245014279617383,fiscal
MAR,Morocco,157,157,0.07746909802961695,,,fiscal
TZA,Tanzania,176,176,0.07664265799256506,,,fiscal
GHA,Ghana,190,190,0.06623443223443222,,,fiscal
CIV,Cote d'Ivoire,152,43,0.02893520616221117,0.03371934057096904,-0.004784134408757874,fiscal
NAM,Namibia,171,85,0.01127372513148868,-0.15995430809399475,0.1712280332254834,fiscal
TGO,Togo,157,35,-0.029593589009730963,-0.14582884822389666,0.11623525921416569,fiscal
EGY,Egypt,157,157,-0.05352651722252597,,,fiscal
ZMB,Zambia,139,139,-0.05493786788750817,,,other
ZAF,South Africa,122,122,-0.05780722511437135,,,fiscal
KEN,Kenya,170,170,-0.058687046404222565,,,fiscal
DZA,Algeria,149,149,-0.07272727272727271,,,commodities
ETH,Ethiopia,168,168,-0.08582183186951066,,,fiscal
SEN,Senegal,176,123,-0.08770145517133467,-0.21481665014866205,0.12711519497732737,fiscal
NGA,Nigeria,187,187,-0.10153179707038228,,,fiscal
BEN,Benin,156,48,-0.10463184931506851,0.1730954115076475,-0.27772726082271604,fiscal
CMR,Cameroon,137,95,-0.11205391040242982,-0.10771812080536909,-0.004335789597060727,political
AGO,Angola,162,132,-0.12215016572993227,-0.23049354593773733,0.10834338020780505,fiscal
UGA,Uganda,179,179,-0.15501241978886357,,,fiscal
BWA,Botswana,166,57,-0.16117024906175367,-0.1523288637967537,-0.008841385264999974,fiscal
MUS,Mauritius,101,101,-0.16464885825075398,,,fiscal
MOZ,Mozambique,173,78,-0.1692084499872741,-0.31504440497335706,0.14583595498608296,fiscal
TUN,Tunisia,189,189,-0.1790307592231206,,,fiscal
BFA,Burkina Faso,186,90,-0.283220981252493,-0.11234782608695654,-0.17087315516553647,political
MLI,Mali,159,159,-0.31523462888340054,,,fiscal
COD,DR Congo,159,46,-0.33553956834532367,-0.37093095238095236,0.03539138403562869,political
CPV,Cabo Verde,134,108,-0.3794938351719663,-0.11239130434782606,-0.2671025308241402,other
